OBJECTID,boro,councildst
1,Brooklyn,36
2,Brooklyn,41
3,Queens,28
4,Queens,31
5,Queens,21
6,Staten Island,51
7,Brooklyn,37
8,Bronx,12
9,Brooklyn,45
10,Queens,20
11,Staten Island,49
12,Staten Island,50
13,Manhattan,09
14,Brooklyn,34
15,Manhattan,01
16,Queens,19
17,Brooklyn,35
18,Bronx,11
19,Queens,29
20,Queens,30
21,Manhattan,03
22,Manhattan,06
23,Brooklyn,46
24,Brooklyn,47
25,Manhattan,08
26,Queens,23
27,Bronx,14
28,Bronx,15
29,Manhattan,04
30,Bronx,16
31,Bronx,17
32,Brooklyn,43
33,Brooklyn,38
34,Brooklyn,44
35,Brooklyn,48
36,Manhattan,05
37,Queens,26
38,Queens,22
39,Queens,25
40,Brooklyn,39
41,Brooklyn,40
42,Manhattan,02
43,Brooklyn,33
44,Manhattan,07
45,Manhattan,10
46,Queens,32
47,Brooklyn,42
48,Bronx,13
49,Bronx,18
50,Queens,24
51,Queens,27
