"curr","old","cnt","row_number"
NATURAL AREA/ETC,NATURAL AREA/WETLAND/WILDLIFE REFUGE,2593,1
IN USE-RES STRUCTURE,IN USE-RESIDENTIAL STRUCTURE,1178,1
PLAYGRND/SPORTS AREA,PLAYGROUND/SPORTS AREA,442,1
AGCY EXECUTVE OFFICE,AGENCY EXECUTIVE OFFICE,348,1
AGCY OFFICE,AGENCY OFFICE,256,1
NO USE-WFT (ANY AGY),NO USE-WATERFRONT (ANY AGENCY),137,1
HIGHWAY STRIP/ETC,MALL/TRIANGLE/HIGHWAY STRIP/PARK STRIP,121,1
OTHER TRANS FACILITY,OTHER TRANSPORTATION FACILITY,99,1
NO USE-NON RES STRC,NO USE-NON RESIDENTIAL STRUCTURESE,91,1
COMBINED MAINT/STRG,COMBINED MAINTENANCE/STORAGE FACILITY,89,1
MUNICPL PKNG-OUTDR,MUNICIPAL PARKING - OUTDOOR PUBLIC,68,1
INDOOR PKNG GARAGE,INDOOR PARKING GARAGE,52,1
UNDEVELOP OPEN SPACE,UNDEVELOPED OPEN SPACE,52,1
OUTDOOR PKNG-AGENCY,OUTDOOR PARKING - AGENCY VEHICLES,49,1
TRANSL HSG - FAMILY,TRANSITIONAL HOUSING - FAMILY,47,1
RECREATIONL FACILITY,RECREATIONAL FACILITY,46,1
NO USE-RES STRUCTURE,NO USE-RESIDENTIAL STRUCTURE,43,1
WASTEWATER PUMPING,WASTEWATER PUMPING STATION,43,1
OUTDR PKNG-EMPLOYEES,OUTDOOR PARKING - EMPLOYEES,41,1
SPECIAL EDUC SCHOOL,SPECIAL EDUCATION SCHOOL,36,1
OTHER PUB SAFETY FAC,OTHER PUBLIC SAFETY FACILITY,35,1
OTHER CULTURAL FAC,OTHER CULTURAL FACILITY,34,1
AMBUL HEALTH FACIL,AMBULATORY HEALTH FACILITY,32,1
INDOOR MAINT/STORAGE,INDOOR MAINTENANCE/STORAGE/GARAGE FACILITY,32,1
EARLY CHILDHD CENTER,EARLY CHILDHOOD CENTER,31,1
INDOOR STORAGE(WHSE),INDOOR STORAGE (WAREHOUSE),30,1
POLLUTION CONTRL FAC,POLLUTION CONTROL FACILITY,27,1
