address,agency,bbl,bin,borough,bridgeid,category,description,mappable,maprojid,origin,parkid,parkname,zipcode
851 GRAND CONCOURSE,OCA,,,Bronx,, Fixed Asset, 851 GRAND CONCOURSE -COOLING TOWER REPLACEMENT               ,Yes - Single Building,856CO293CTR,unmapped,,,
125-01 QUEENS BLVD,OCA,,,Queens,, Fixed Asset, 125-01 QUEENS BLVD - ELECTRICAL UPGRADES                     ,Yes - Single Building,850CO296ELEC,unmapped,,,
210 JORALEMON ST,OCA,,,Brooklyn,, Fixed Asset, 210 JORALEMON ST. OCA RELOCATION                             ,Yes - Single Building,856CO264BKCV,unmapped,,,
,OCA,,,,,Lump Sum, REHABILITATION OF VARIOUS COURT FACILITES                    ,No - Can never be mapped,856CO264DCAS,unmapped,,,
,OCA,,,,,Lump Sum, VARIOUS COURT FACILITIES- REHABILITATION                     ,No - Can never be mapped,856CO264MISC,unmapped,,,
45 MONROE PL,OCA,,,Brooklyn,, Fixed Asset, 45 MONROE PL CHILLER REPLACEMENT                             ,Yes - Single Building,856CO272CHIL,unmapped,,,
45 MONROE PL,OCA,,,Brooklyn,, Fixed Asset, 45 MONROE PL.- ELECTRICAL UPGRADE                            ,Yes - Single Building,856CO272ELEC,unmapped,,,
100 RICHMOND TERRACE,OCA,,,Staten Island,, Fixed Asset, 100 RICHMOND TERRACE- FAMILY COURT/EXTERIOR FACADE (LL #11)  ,Yes - Single Building,856CO276EXTR,unmapped,,,
25-10 COURT SQ,OCA,,,Queens,, Fixed Asset, 25-10 COURT HOUSE SQ.- RENOVATION                            ,Yes - Single Building,856CO277RENV,unmapped,,,
360 ADAMS ST,OCA,,,Brooklyn,, Fixed Asset, 360 ADAMS ST.- EXTERIOR                                      ,Yes - Single Building,856CO278EXTR,unmapped,,,
360 ADAMS ST,OCA,,,Brooklyn,, Fixed Asset, 360 ADAMS STREET - ROOF                                      ,Yes - Single Building,856CO278RF,unmapped,,,
283 ADAMS ST,OCA,,,Brooklyn,, Fixed Asset, 283 ADAMS ST.- EXTERIOR                                      ,Yes - Single Building,856CO280EXTR,unmapped,,,
120 SCHERMERHORN ST,OCA,,,Brooklyn,, Fixed Asset, 120 SCHERMERHORN ST.- ELECTRICAL UPGRADE                     ,Yes - Single Building,856CO281ELEC,unmapped,,,
120 SCHERMERHORN ST,OCA,,,Brooklyn,, Fixed Asset, 120 SCHERMERHORN ST.- EXTERIOR                               ,Yes - Single Building,856CO281EXTR,unmapped,,,
100 CENTRE ST,OCA,,,Manhattan,, Fixed Asset, 100 CENTRE ST.- BOILER BURNERS AND CONTROLS                  ,Yes - Single Building,856CO283BLR,unmapped,,,
100 CENTRE ST,OCA,,,Manhattan,, Fixed Asset, 100 CENTRE ST.- ELEVATORS                                    ,Yes - Single Building,856CO283ELEV,unmapped,,,
111 CENTRE ST,OCA,,,Manhattan,, Fixed Asset, 111 CENTRE ST.- ELEVATORS                                    ,Yes - Single Building,856CO284ELEV,unmapped,,,
26 CENTRAL AVE,OCA,,,Staten Island,, Fixed Asset, DASNY - NEW STATEN ISLAND SUPREME COURT                      ,Yes - Single Building,856CO287R-1,unmapped,,,
215 E161 ST,OCA,,,Bronx,, Fixed Asset, 215 E. 161ST STREET- EXTERIOR                                ,Yes - Single Building,856CO294EXTR,unmapped,,,
1118 GRAND CONCOURSE,OCA,,,Bronx,, Fixed Asset, 1118 GRAND CONCOURSE - ROOF                                  ,Yes - Single Building,856CO295ROOF,unmapped,,,
125-01 QUEENS BLVD,OCA,,,Queens,, Fixed Asset, 125-01 QUEENS BLVD.- ROOF                                    ,Yes - Single Building,856CO296RF,unmapped,,,
151-20 JAMAICA AVE,OCA,,,Queens,, Fixed Asset, 151-20 JAMAICA AVE.- CHILLER REPLACEMENT                     ,Yes - Single Building,856CO298CHIL,unmapped,,,
