factype,rectype
RECREATIONAL FIELD/COURTS,facility
NEIGHBORHOOD PARK,facility
FERRY TERMINAL,facility
TEXTILES,program
BUILDINGS/INSTITUTIONS,facility
CAMP - ALL AGE,program
HUMANITIES,program
SCHOOL BUS DEPOT,facility
THEATER,program
SUMMER ONLY FEEDING SITE,program
ELEMENTARY SCHOOL - NON-PUBLIC,facility
YOUTH RECREATIONAL SERVICES/YOUTH ATHLETIC LEAGUES,facility
LITERATURE,program
INPATIENT MENTAL HEALTH,facility
SCHOOL BASED CHILD CARE - PRESCHOOL,facility
UNDEVELOPED,facility
STATE HISTORIC PLACE,program
COMMERCIAL GARAGE & PARKING LOT,facility
STRIP,facility
HIGH SCHOOL - CHARTER,facility
SUPPORTED HOUSING-OMH,facility
EARLY EDUCATION PROGRAM,program
HIGH SCHOOL - PUBLIC,facility
GARDEN,facility
"SYEP AND WORK, LEARN & GROW (WLG)",program
COMMUNITY SERVICES,facility
PUBLIC PARKING,facility
ADULT DAY HEALTH CARE PROGRAM - OFFSITE,program
CITY COUNCIL AWARDS,program
JOBS AND SERVICE CENTER,facility
COMPOST,program
PORT OR MARINE TERMINAL,facility
PEDESTRIAN PLAZA,facility
OUTPATIENT MENTAL HEALTH,facility
DAY CARE,facility
INDOOR PARKING GARAGE,facility
TOW TRUCK COMPANY,program
EDUCATIONAL SERVICES; JOBS AND INTERNSHIPS,facility
NURSING HOME,facility
SCHOOL'S OUT NEW YORK CITY (SONYC),program
PARENT SUPPORT PROGRAM,program
JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC,facility
SPECIAL DEMO - CITY COUNCIL-OMH,program
"MULTI-DISCIPLINE, NON-PERFORM",program
SOUP KITCHEN,facility
FEEDING SITE,program
TIDAL WETLAND,facility
SPECIAL LIBRARIES,facility
K-8 SCHOOL - PUBLIC,facility
MUSIC,program
WORKFORCE 1 CAREER CENTERS,facility
HIGH SCHOOL - NON-PUBLIC,facility
SUPPORT MENTAL HEALTH,facility
COMPASS ELEMENTARY,facility
PLAYGROUND,facility
"MULTI-DISCIPL, PERF & NON-PERF",facility
DOE UNIVERSAL PRE-K,facility
MOBILE DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,program
EDUCATIONAL SUPPORT: HIGH SCHOOL YOUTH,facility
ELEMENTARY SCHOOL - PUBLIC,facility
PROGRAMS FOR PEOPLE WITH DISABILITIES,program
SECONDARY SCHOOL - PUBLIC,facility
MUSEUM,program
ANTI-GUN VIOLENCE INITIATIVE,program
"SUPPORTED SRO-OMH, CRISIS/RESPITE BEDS-OMH",program
SENIOR SERVICES,facility
"MULTI-DISCIPLINE, PERFORMING",program
ADULT LITERACY - ENGLISH FOR SPEAKERS OF OTHER LANGUAGES,program
CAMP - SCHOOL AGE,program
TRIANGLE/PLAZA,facility
POLICE STATION,facility
NYCHA COMMUNITY CENTER - COMMUNITY CENTER - CORNERSTONE,facility
CUSTOMIZED ASSISTANCE SERVICES (CAS),program
"K-12 ALL GRADES SCHOOL - PUBLIC, SPECIAL EDUCATION",facility
NYCT SUBWAY YARD,facility
SCHOOL BASED HOSPITAL EXTENSION CLINIC,facility
FOOD PANTRY,facility
ENRICHED HOUSING PROGRAM,program
RECREATION-OPWDD,program
PUMPING STATION,facility
CERTIFIED HOME HEALTH AGENCY,program
AMBULANCE STATION,facility
HOSPITAL EXTENSION CLINIC,facility
PSYCHOSOCIAL CLUB-OMH,program
HOUSING SUPPORT,program
COMPULSIVE GAMBLING SERVICES,program
SENIORS,program
FILM/VIDEO/AUDIO,program
CIVICS CLASSES,program
DANCE,program
OUTDOOR STORAGE - AGENCY VEHICLES,facility
SATELLITE SITE FOR STUDENTS WITH DISABILITIES,facility
DROP-IN CENTER,facility
GED-ALTERNATIVE HIGH SCHOOL EQUIVALENCY PREP PROGRAMS,program
LICENSED PRIVATE SCHOOLS,facility
DSNY GARAGE,facility
COMMUNITY SERVICES; FAMILY SUPPORT; HOUSING SUPPORT; IMMIGRANT SERVICES,program
VISUAL ARTS,program
DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,facility
SPECIAL DEMO - CITY COUNCIL-OASAS-OMH,program
PRE-K CENTER,facility
ELECTRONICS,program
DIAGNOSTIC AND TREATMENT CENTER,facility
HISTORICAL SOCIETIES,program
FIREHOUSE,facility
TRANSIT FACILITY,facility
NYCT MAINTENANCE AND OTHER FACILITY,facility
OPPORTUNITY YOUTH: SUPPORTED WORK EXPERIENCE,program
JOINTLY OPERATED PLAYGROUND,facility
NYCHA COMMUNITY CENTER - COMMUNITY CENTER - CORNERSTONE EXPANSION,facility
DISCHARGE AND REENTRY SERVICES,program
PUBLIC SAFETY FACILITY,facility
CUSTODIAL,facility
SENIOR CENTER,facility
CHILD HEALTH CENTER,facility
AMTRAK YARD,facility
RAIL LINE,facility
SYEP CAREERREADY,program
NORC SERVICES,program
NEW MEDIA,program
CRIME VICTIMS SERVICES,program
"SELF-HELP-OMH, NON-MEDICAID CARE COORDINATION; (NON-LICENSED PROGRAM)-OMH, ADVOCACY SERVICES-OMH",program
EMERGENCY/CRISIS MENTAL HEALTH,program
COMMUNITY PARK,facility
PRE-SCHOOL FOR STUDENTS WITH DISABILITIES,facility
"HOME BASED CRISIS INTERVENTION-OMH, CRISIS INTERVENTION-OMH",program
NYCHA COMMUNITY CENTER - SENIOR CENTER/COMMUNITY CENTER,facility
COURT BASED PROGRAMS,program
4-YEAR INDEPENDENT,program
COMBINED MAINTENANCE/STORAGE FACILITY,facility
COURTHOUSE,facility
SUMMER YOUTH EMPLOYMENT PROGRAM (SYEP) (AGES 14-15),program
NATURE AREA,facility
TRANSPORTATION FACILITY,facility
CHARTER SCHOOL,facility
K-8 SCHOOL - CHARTER,facility
ARTICLE 10 PETITION PARENTAL REPRESENTATION,program
COVID19 PROGRAMS,program
HOSPICE,facility
K-12 ALL GRADES SCHOOL - CHARTER,facility
WORKFORCE1 CAREER CENTER,facility
PUBLIC LIBRARY,facility
SCRAP METAL PROCESSING,facility
REGISTERED BUSINESS SCHOOLS,facility
AGENCY OFFICE,facility
"NY NY III SUPPORTED HOUSING-OMH, SUPPORTED HOUSING-OMH",program
OFFICE,facility
PHOTOGRAPHY,program
SUPPORTED SRO-OMH,program
VEHICLE MAINTENANCE,facility
VDF,program
HOMEBASE HOMELESSNESS PREVENTION,program
CASE MANAGEMENT,program
HOSPITAL,facility
JOBS AND INTERNSHIPS,program
BRIDGE HOUSE,facility
EMPLOYMENT FOCUSED SERVICES,program
FOLK ARTS,program
AIM,program
"PSYCHOSOCIAL CLUB-OMH, SUPPORTED SRO-OMH",program
ADULT HOME,program
BEACON,program
IMMIGRANT FAMILY SERVICES,program
NYCHA COMMUNITY CENTER - SENIOR CENTER,facility
HOME DELIVERED MEALS,program
EDUCATIONAL SERVICES,program
LEGAL SERVICES,program
STATE PARK,facility
