zonedist,Contextual,zoningdistricttype,ResDistEq,residfar,AffResFAR,facilfar,commfar,mnffar,verified
BALL FIELD,-,-,,-,-,-,-,-,
BPC,-,-,,-,-,-,-,-,y
C1-6,Non-contextual,Local Retail and Service,R7-2,3.44,5.01,6.5,2,-,y
C1-6A,Contextual,Local Retail and Service,R7A,4,5.01,4,2,-,y
C1-7,Non-contextual,Local Retail and Service,R8,6.02,7.2,6.5,2,-,y
C1-7A,Contextual,Local Retail and Service,R8A,6.02,7.2,6.5,2,-,y
C1-8,Non-contextual,Local Retail and Service,R9,7.52,9.02,10,2,-,y
C1-8A,Contextual,Local Retail and Service,R9A,7.52,9.02,7.5,2,-,y
C1-8X,Contextual,Local Retail and Service,R9X,9,10.8,9,2,-,y
C1-9,Non-contextual,Local Retail and Service,R10,10,12,10,2,-,y
C1-9A,Contextual,Local Retail and Service,R10A,10,12,10,2,-,y
C2-6,Non-contextual,Local Retail and Service,R7-2,3.44,5.01,6.5,2,-,y
C2-6A,Contextual,Local Retail and Service,R7A,4,5.01,4,2,-,y
C2-7,Non-contextual,Local Retail and Service,R9,7.52,9.02,10,2,-,y
C2-7A,Contextual,Local Retail and Service,R9A,7.52,9.02,7.5,2,-,y
C2-7X,Contextual,Local Retail and Service,R9X,9,10.8,9,2,-,y
C2-8,Non-contextual,Local Retail and Service,R10,10,12,10,2,-,y
C2-8A,Contextual,Local Retail and Service,R10A,10,12,10,2,-,y
C3,Non-contextual,Waterfront Recreation,R3-2,0.75,1,1,0.5,-,y
C3A,Contextual,Waterfront Recreation,R3-2,0.75,1,1,0.5,-,y
C4-1,Non-contextual,General Commercial,R5,1.5,2,2,1,-,y
C4-2,Non-contextual,General Commercial,R6,2.43,3.9,4.8,3.4,-,y
C4-2A,Contextual,General Commercial,R6A,3,3.9,3,3,-,y
C4-2F,Non-contextual,General Commercial,R8,6.02,7.2,6.5,3.4,-,y
C4-3,Non-contextual,General Commercial,R6,2.43,3.9,4.8,3.4,-,y
C4-3A,Contextual,General Commercial,R6A,3,3.9,3,3,-,y
C4-4,Non-contextual,General Commercial,R7-2,3.44,5.01,6.5,3.4,-,y
C4-4A,Contextual,General Commercial,R7A,4,5.01,4,4,-,y
C4-4D,Contextual,General Commercial,R8A,6.02,7.2,6.5,3.4,-,y
C4-4L,Contextual,General Commercial,R7A,4,5.01,4,4,-,y
C4-5,Non-contextual,General Commercial,R7-2,3.44,5.01,6.5,3.4,-,y
C4-5A,Contextual,General Commercial,R7A,4,5.01,4,4,-,y
C4-5D,Contextual,General Commercial,R7D,4.66,5.6,4.66,4.2,-,y
C4-5X,Contextual,General Commercial,R7X,5,6,5,4,-,y
C4-6,Non-contextual,General Commercial,R10,10,12,10,3.4,-,y
C4-6A,Contextual,General Commercial,R10A,10,12,10,3.4,-,y
C4-7,Non-contextual,General Commercial,R10,10,12,10,10,-,y
C4-7A,Contextual,General Commercial,R10A,10,12,10,10,,y
C4-11,Non-contextual,General Commercial,R11,12,15,12,3.4,,y
C4-11A,Contextual,General Commercial,R11A,12,15,12,3.4,,y
C4-12,Contextual,General Commercial,R12,15,18,15,3.4,,y
C5-1,Non-contextual,Restricted Central Commercial,R10,10,12,10,4,-,y
C5-1A,Contextual,Restricted Central Commercial,R10A,10,12,10,4,-,y
